Action:Action 
Adventure:Adventure
Animation:Animation
Comedy:Comedy,Funny
Crime:Crime
Documentary:Documentary
Drama:Drama
Family:Family 
Fantasy:Fantasy
History:History
Horror:Horror,Scary
Music:Music,Musical
Mystery:Mystery
Romance:Romance,Romantic
Science Fiction:Science Fiction, Sci-Fi
TV Movie:TV Movie
Thriller:Thriller
War:War
Western:Western
