Natascha Wharton
Stephen Daldry
Stephen Warbeck
Lee Hall
Maria Djurkovic
Mark Holding
Brian Tufano
Jina Jay
Tatiana Lund
John Wilson
Julie Walters
Jamie Bell
Jamie Draven
Gary Lewis
Jean Heywood
Stuart Wells
Nicola Blackwell
Wallace Wolodarsky
Janine Birkett
Steven Spielberg
Kathleen Kennedy
Colin Wilson
John Williams
Janusz Kamiński
Michael Kahn
Terri Taylor
Debra Zane
Rick Carter
Doug J. Meerdink
Joanna Johnston
Cari Finken
Tom Cruise
Dakota Fanning
Miranda Otto
Justin Chatwin
Tim Robbins
Camillia Sanes
John Scurti
Josh Friedman
David Koepp
Tim Burton
Larry J. Franco
Laurie Parker
Jonathan Gems
Jack Nicholson
Glenn Close
Annette Bening
Pierce Brosnan
Danny DeVito
Martin Short
Sarah Jessica Parker
Michael J. Fox
Rod Steiger
Tom Jones
Natalie Portman
Christopher Nolan
Lukas Haas
Jonathan Nolan
Sylvia Sidney
Guy Pearce
Carrie-Anne Moss
Danny Elfman
Joe Pantoliano
Victor Herbert
Mark Boone Junior
Russ Fega
Jorja Fox
Stephen Tobolowsky
Harriet Sansom Harris
Thomas Lennon
Callum Keith Rennie
Chris Lebenzon
Kimberly Campbell
Marianne Muellerleile
Larry Holden
Matthew Barry
Jeanne McCarthy
Victoria Thomas
Wynn Thomas
Buzz Visconti
Jennifer Todd
Suzanne Todd
Elaine Dysinger
John Dexter
Aaron Ryder
Nancy Haigh
Emma Thomas
Colleen Atwood
David Julyan
Wally Pfister
Patti Podesta
John Papsidera
Richard LeGrand Jr.
Dody Dorn
Richard Linklater
Anne Walker-McBay
Kim Krizan
Ethan Hawke
Andrea Eckert
Hanno Pöschl
Karl Bruckschwaiger
Tex Rubinowitz
Lee Daniel
Fred Frith
Ridley Scott
Sandra Adair
Michael Deeley
Sheri Galloway
Hampton Fancher
Philip K. Dick
Rutger Hauer
Sean Young
Edward James Olmos
M. Emmet Walsh
Daryl Hannah
William Sanderson
Brion James
Joe Turkel
Joanna Cassidy
Jordan Cronenweth
Vangelis
Lawrence G. Paull
Jane Feinberg
Mike Fenton
Marci Liroff
Marsha Nakashima
David L. Snyder
Linda DeScenna
Leslie McCarthy-Frankenheimer
Michael Kaplan
Charles Knode
Zhang Yimou
Hayao Miyazaki
Cindy Davis
Sumi Shimamoto
Mahito Tsujimura
Hisako Kyouda
Gorō Naya
Ichirō Nagai
Kōhei Miyauchi
Jōji Yanami
Minoru Yada
Rihoko Yoshida
Yōji Matsuda
Mina Tominaga
Yoshiko Sakakibara
Iemasa Kayumi
Tetsuo Mizutori
Rick Dempsey
Isao Takahata
Hideshi Kyonen
Mark Henley
Ned Lott
Naoki Kaneko
Tomoko Kida
Shōji Sakai
Shigeharu Shiba
Joe Hisaishi
Michael Mann
Pieter Jan Brugge
Chris Kentis
Laura Lau
Gong Li
Blanchard Ryan
Daniel Travis
Dion Beebe
Philip Kaufman
Vernon Dobtcheff
Karen Allen
Louise Lemoine Torrès
Paul Freeman
Ronald Lacey
Rodolphe Pauly
John Rhys-Davies
Denholm Elliott
Mariane Plasteig
Alfred Molina
Wolf Kahler
Anthony Higgins
Vic Tablian
Don Fellows
William Hootkins
Frank Marshall
Howard G. Kazanjian
Douglas Slocombe
Mary Selway
Norman Reynolds
Ben Burtt
Richard L. Anderson
Oskar Roehler
Bernd Eichinger
Oliver Berben
Christian Ulmen
Moritz Bleibtreu
Martina Gedeck
Franka Potente
Corinna Harfouch
Nina Hoss
Uwe Ochsenknecht
Jasmin Tabatabai
Tom Schilling
Nina Kronjäger
Willard Huyck
Gloria Katz
Hermann Beyer
Kate Capshaw
Jonathan Ke Quan
Amrish Puri
Jennifer Ulrich
Roshan Seth
Philip Stone
Roy Chiao
David Yip
Michael Gwisdek
Chua Kah Joo
Carl-Friedrich Koschnick
Rex Ngui
Philip Tan
Peter R. Adam
Dan Aykroyd
Martin Todsharow
Ingrid Henn
An Dorthe Braker
Robert Watts
Ulrike Kriener
Elliot Scott
Emile Ardolino
Eleanor Bergstein
Linda Gottlieb
John Morris
Jeffrey Jur
Peter C. Frank
Jennifer Grey
Patrick Swayze
Cynthia Rhodes
Jerry Orbach
Jack Weston
Jane Brucker
Kelly Bishop
Lonny Price
Max Cantor
Alvin Myerovich
Paula Trueman
Arthur F. Repola
Menno Meyjes
Jeffrey Boam
Sean Connery
Alison Doody
Julian Glover
River Phoenix
Michael Byrne
Kevork Malikyan
Robert Eddison
Richard Young
Alexei Sayle
Alex Hyde-White
Paul Maxwell
Isla Blair
Maggie Cartier
Valorie Massalas
Judy Taylor
Bero Beyer
Antoine Héberlé
Sander Vos
Ali Suliman
Amer Hlehel
Hiam Abbass
Ashraf Barhom
Jina Sumedi
Pierre Hodgson
Martin Brest
Jerry Bruckheimer
Don Simpson
Danilo Bach
Daniel Petrie Jr.
Eddie Murphy
Judge Reinhold
John Ashton
Lisa Eilbacher
Ronny Cox
Paul Reiser
Steven Berkoff
Jonathan Banks
James Russo
Stephen Elliott
Gilbert R. Hill
Art Kimbro
Joel Bailey
Michael Champion
Mohammad Bustami
Bruce Surtees
Luis Buñuel
Angelo P. Graham
James J. Murakami
John M. Dwyer
Jeff Haley
Tom Bronson
Harold Faltermeyer
Arthur Coburn
Michael Glawogger
Wolfgang Thaler
Erich Lackner
Rolf Schmid
Shankar Loutakke
Pierre Unik
Tony Kaye
Ramón Acín
John Morrissey
Rafael Sánchez Ventura
David McKenna
Edward Norton
Edward Furlong
Beverly D'Angelo
Avery Brooks
Jennifer Lien
Ethan Suplee
Stacy Keach
Fairuza Balk
Elliott Gould
Guy Torry
William Russ
Joe Cortese
Jason Bose Smith
Antonio David Lyons
Alex Sol
Otto Preminger
André F. Nebe
Raoul B. Reinert
Katrin Lehnert
Wendell Mayes
Sven O. Hill
John D. Voelker
Ursula Buschhorn
Hans-Werner Meyer
Eli Lotar
Diana Karsten
Anne Dudley
Gerald B. Greenberg
Alan Heim
James Stewart
Lee Remick
Ben Gazzara
Arthur O'Connell
Duke Ellington
Valerie McCaffrey
Eve Arden
Kathryn Grant
George C. Scott
Orson Bean
Michael Bay
Russ Brown
Marc Meyer
Faysal Omer
Gale Anne Hurd
Sam Leavitt
Louis R. Loeffler
Robert Roy Pool
Boris Leven
Peter Polsak-Lohmann
Jonathan Hensleigh
Richard Carruth
Jack Solomon
Billy Bob Thornton
Ben Affleck
Irving Rosenberg
